,total_seconds,normalized_power_level
707,707,1.001926
708,708,1.001926
709,709,1.001926
710,710,1.001926
711,711,1.001045
712,712,1.001045
713,713,1.001045
714,714,1.001045
715,715,1.001045
716,716,1.001155
717,717,1.001155
718,718,1.001155
719,719,1.001155
720,720,1.001155
721,721,1.001155
722,722,1.001155
723,723,1.001155
724,724,1.001155
725,725,1.001155
726,726,1.001486
727,727,1.001486
728,728,1.001486
729,729,1.001486
730,730,1.001816
731,731,1.001816
732,732,1.001816
733,733,1.001816
734,734,1.001926
735,735,1.001926
736,736,1.001926
737,737,1.001926
738,738,1.001926
739,739,1.002477
740,740,1.002477
741,741,1.002477
742,742,1.002477
743,743,1.002477
744,744,1.002477
745,745,1.002477
746,746,1.002477
747,747,1.002477
748,748,1.002477
749,749,1.002477
750,750,1.002477
751,751,1.002477
752,752,1.002477
753,753,1.002587
754,754,1.002587
755,755,1.002587
756,756,1.002587
757,757,1.002587
758,758,1.002587
759,759,1.002587
760,760,1.002587
761,761,1.002587
762,762,1.002587
763,763,1.002587
764,764,1.002587
765,765,1.002587
766,766,1.002587
767,767,1.002587
768,768,1.002587
769,769,1.002587
770,770,1.002587
771,771,1.002587
772,772,1.002697
773,773,1.002697
774,774,1.002697
775,775,1.002697
776,776,1.002477
777,777,1.002477
778,778,1.002477
779,779,1.002477
780,780,1.003468
781,781,1.003468
782,782,1.003468
783,783,1.003468
784,784,1.003468
785,785,1.003468
786,786,1.003468
787,787,1.003468
788,788,1.003468
789,789,1.003689
790,790,1.003689
791,791,1.003689
792,792,1.003689
793,793,1.003689
794,794,1.00446
795,795,1.00446
796,796,1.00446
797,797,1.00446
798,798,1.00446
799,799,1.003138
800,800,1.003138
801,801,1.003138
802,802,1.003138
803,803,1.002587
804,804,1.002587
805,805,1.002587
806,806,1.002587
807,807,1.002587
808,808,1.001596
809,809,1.001596
810,810,1.001596
811,811,1.001596
812,812,1.001596
813,813,1.001596
814,814,1.001596
815,815,1.001596
816,816,1.001596
817,817,1.001596
818,818,1.001596
819,819,1.001816
820,820,1.001816
821,821,1.001816
822,822,1.001816
823,823,1.001816
824,824,1.001816
825,825,1.001816
826,826,1.001155
827,827,1.001155
828,828,1.000604
829,829,1.000604
830,830,1.000604
831,831,1.000604
832,832,1.000604
833,833,1.000604
834,834,1.000604
835,835,1.000604
836,836,0.999613
837,837,0.999613
838,838,0.999613
839,839,0.999613
840,840,0.999283
841,841,0.999283
842,842,0.999283
843,843,0.999283
844,844,1.000715
845,845,1.000715
846,846,1.000715
847,847,1.000715
848,848,1.000715
849,849,1.001045
850,850,1.001045
851,851,1.001045
852,852,1.001045
853,853,1.001045
854,854,1.001045
855,855,1.001045
856,856,1.001045
857,857,1.001045
858,858,1.001045
859,859,1.001045
860,860,1.001045
861,861,1.001045
862,862,1.001045
863,863,1.001045
864,864,1.000494
865,865,1.000494
866,866,1.000494
867,867,1.000054
868,868,1.000054
869,869,1.000054
870,870,1.000054
871,871,1.000384
872,872,1.000384
873,873,1.000384
874,874,1.000384
875,875,1.000384
876,876,1.000384
877,877,1.000384
878,878,1.000384
879,879,1.000384
880,880,1.000384
881,881,1.000164
882,882,1.000164
883,883,1.000164
884,884,1.000164
885,885,0.999613
886,886,0.999613
887,887,0.999613
888,888,0.999613
889,889,0.999613
890,890,0.999613
891,891,0.999172
892,892,0.999172
893,893,0.999172
894,894,0.999172
895,895,0.999172
896,896,0.999172
897,897,0.999172
898,898,1.000274
899,899,1.000274
900,900,1.000274
901,901,1.000274
902,902,1.000274
903,903,1.000274
904,904,1.000274
905,905,1.000274
906,906,1.000274
907,907,1.000274
908,908,0.999503
909,909,0.999503
910,910,0.999503
911,911,0.999503
912,912,0.999503
913,913,0.999944
914,914,0.999944
915,915,0.999944
916,916,0.999944
917,917,0.999944
918,918,1.000384
919,919,1.000384
920,920,1.000384
921,921,1.000384
922,922,1.000384
923,923,1.000384
924,924,1.000384
925,925,1.000384
926,926,1.000384
927,927,1.000384
928,928,1.000054
929,929,1.000054
930,930,1.000054
931,931,1.000164
932,932,1.000164
933,933,1.000164
934,934,1.000164
935,935,1.000164
936,936,1.000164
937,937,1.000494
938,938,1.000494
939,939,1.000494
940,940,1.000494
941,941,1.000494
942,942,1.000494
943,943,1.000494
944,944,1.000494
945,945,1.002367
946,946,1.002367
947,947,1.002367
948,948,1.002367
949,949,1.002036
950,950,1.002036
951,951,1.002036
952,952,1.002036
953,953,1.001926
954,954,1.001926
955,955,1.001926
956,956,1.001926
957,957,1.001926
958,958,1.001816
959,959,1.001816
960,960,1.001816
961,961,1.001816
962,962,1.001816
963,963,1.001816
964,964,1.001816
965,965,1.001816
966,966,1.001816
967,967,1.000604
968,968,1.000604
969,969,1.000604
970,970,1.000604
971,971,0.997961
972,972,0.997961
973,973,0.997961
974,974,0.997961
975,975,0.996309
976,976,0.996309
977,977,0.996309
978,978,0.996309
979,979,0.996309
980,980,1.002367
981,981,1.002367
982,982,1.002367
983,983,1.002367
984,984,1.002367
985,985,1.002367
986,986,1.002367
987,987,1.002367
988,988,1.002367
989,989,1.001706
990,990,1.001706
991,991,1.001706
992,992,1.001706
993,993,1.001706
994,994,1.001706
995,995,0.99752
996,996,0.99752
997,997,0.99752
998,998,0.99752
999,999,0.99752
1000,1000,0.99752
1001,1001,1.000715
1002,1002,1.000715
1003,1003,1.000715
1004,1004,1.000715
1005,1005,1.000715
1006,1006,1.000715
1007,1007,1.000715
1008,1008,1.006112
1009,1009,1.006112
1010,1010,1.006112
1011,1011,1.006112
1012,1012,1.005671
1013,1013,1.005671
1014,1014,1.005671
1015,1015,1.005671
1016,1016,1.005671
1017,1017,1.005892
1018,1018,1.005892
1019,1019,1.005892
1020,1020,1.005892
1021,1021,1.005892
1022,1022,1.005451
1023,1023,1.005451
1024,1024,1.005451
1025,1025,1.005451
1026,1026,1.005561
1027,1027,1.005561
1028,1028,1.005561
1029,1029,1.005561
1030,1030,1.005561
1031,1031,1.00457
1032,1032,1.00457
1033,1033,1.00457
1034,1034,1.00457
1035,1035,1.00457
1036,1036,1.00457
1037,1037,1.00457
1038,1038,1.00457
1039,1039,1.00457
1040,1040,1.00468
1041,1041,1.00468
1042,1042,1.00468
1043,1043,1.00468
1044,1044,1.00468
1045,1045,1.005121
1046,1046,1.005121
1047,1047,1.005121
1048,1048,1.005121
1049,1049,1.005671
1050,1050,1.005671
1051,1051,1.005671
1052,1052,1.005671
1053,1053,1.005671
1054,1054,1.005671
1055,1055,1.005671
1056,1056,1.005671
1057,1057,1.005671
1058,1058,1.005671
1059,1059,1.005781
1060,1060,1.005781
1061,1061,1.005781
1062,1062,1.005781
1063,1063,1.005781
1064,1064,1.005781
1065,1065,1.005781
1066,1066,1.005781
1067,1067,1.003799
1068,1068,1.003799
1069,1069,1.003799
1070,1070,1.003799
1071,1071,1.003799
1072,1072,1.00457
1073,1073,1.00457
1074,1074,1.00457
1075,1075,1.00457
1076,1076,1.00457
1077,1077,1.00457
1078,1078,1.00457
1079,1079,1.00457
1080,1080,1.00479
1081,1081,1.00479
1082,1082,1.00479
1083,1083,1.00479
1084,1084,1.00479
1085,1085,1.00446
1086,1086,1.00446
1087,1087,1.00446
1088,1088,1.00446
1089,1089,1.00446
1090,1090,1.00446
1091,1091,1.00435
1092,1092,1.00435
1093,1093,1.00435
1094,1094,1.00435
1095,1095,1.004239
1096,1096,1.004239
1097,1097,1.004239
1098,1098,1.004239
1099,1099,1.004239
1100,1100,1.004239
1101,1101,1.002807
1102,1102,1.002807
1103,1103,1.002807
1104,1104,1.002807
1105,1105,1.002807
1106,1106,1.002807
1107,1107,1.002807
1108,1108,1.002807
1109,1109,1.003138
1110,1110,1.003138
1111,1111,1.003138
1112,1112,1.003138
1113,1113,1.002697
1114,1114,1.002697
1115,1115,1.002697
1116,1116,1.002697
1117,1117,1.002697
1118,1118,1.002697
1119,1119,1.002257
1120,1120,1.002257
1121,1121,1.002257
1122,1122,1.002257
1123,1123,1.002587
1124,1124,1.002587
1125,1125,1.002587
1126,1126,1.002587
1127,1127,1.002587
1128,1128,1.002587
1129,1129,1.002587
1130,1130,1.002587
1131,1131,1.001045
1132,1132,1.001045
1133,1133,1.001045
1134,1134,1.001045
1135,1135,1.000825
1136,1136,1.000825
1137,1137,1.000825
1138,1138,1.000825
1139,1139,1.000825
1140,1140,1.000825
1141,1141,1.001045
1142,1142,1.001045
1143,1143,1.001045
1144,1144,1.001045
1145,1145,1.001045
1146,1146,1.001045
1147,1147,1.001045
1148,1148,1.001045
1149,1149,1.001375
1150,1150,1.001375
1151,1151,1.001375
1152,1152,1.001375
1153,1153,1.001926
1154,1154,1.001926
1155,1155,1.001926
1156,1156,1.001926
1157,1157,1.001926
1158,1158,1.002918
1159,1159,1.002918
1160,1160,1.002918
1161,1161,1.002918
1162,1162,1.002918
1163,1163,1.002918
1164,1164,1.002918
1165,1165,1.002918
1166,1166,1.002918
1167,1167,1.002918
1168,1168,1.002918
1169,1169,1.002918
1170,1170,1.002918
1171,1171,1.002036
1172,1172,1.002036
1173,1173,1.002036
1174,1174,1.002036
1175,1175,1.002036
1176,1176,1.002367
1177,1177,1.002367
1178,1178,1.002367
1179,1179,1.002367
1180,1180,1.002367
1181,1181,1.002367
1182,1182,1.002367
1183,1183,1.002367
1184,1184,1.002367
1185,1185,1.002477
1186,1186,1.002477
1187,1187,1.002477
1188,1188,1.002477
1189,1189,1.003578
1190,1190,1.003578
1191,1191,1.003578
1192,1192,1.003578
1193,1193,1.003578
1194,1194,1.003578
1195,1195,1.003578
1196,1196,1.003578
1197,1197,1.003578
1198,1198,1.003909
1199,1199,1.003909
1200,1200,1.003909
1201,1201,1.003909
1202,1202,1.003909
1203,1203,1.004129
1204,1204,1.004129
1205,1205,1.004129
1206,1206,1.004129
1207,1207,1.004129
1208,1208,1.003909
1209,1209,1.003909
1210,1210,1.003909
1211,1211,1.003909
1212,1212,1.003909
1213,1213,1.003909
1214,1214,1.003909
1215,1215,1.003909
1216,1216,1.000494
1217,1217,1.000494
1218,1218,1.000494
1219,1219,1.000494
1220,1220,1.000494
1221,1221,1.002477
1222,1222,1.002477
1223,1223,1.002477
1224,1224,1.002477
1225,1225,1.001265
1226,1226,1.001265
1227,1227,1.001265
1228,1228,1.001265
1229,1229,1.001265
1230,1230,1.001265
1231,1231,1.001265
1232,1232,1.001265
1233,1233,1.001265
1234,1234,1.001265
1235,1235,1.001265
1236,1236,1.001265
1237,1237,1.001265
1238,1238,1.001486
1239,1239,1.001486
1240,1240,1.001486
1241,1241,1.001486
1242,1242,1.000935
1243,1243,1.000935
1244,1244,1.000935
1245,1245,1.000935
1246,1246,1.000935
1247,1247,1.000935
1248,1248,1.000935
1249,1249,1.000935
1250,1250,1.000935
1251,1251,1.000935
1252,1252,1.000825
1253,1253,1.000825
1254,1254,1.000825
1255,1255,1.001596
1256,1256,1.001596
1257,1257,1.001596
1258,1258,1.001596
1259,1259,1.001596
1260,1260,1.001596
1261,1261,1.001596
1262,1262,1.001596
1263,1263,1.001596
1264,1264,1.001596
1265,1265,1.001596
1266,1266,1.001045
1267,1267,1.001045
1268,1268,1.001045
1269,1269,1.001045
1270,1270,1.001045
1271,1271,1.001045
1272,1272,1.001045
1273,1273,1.001045
1274,1274,1.002367
1275,1275,1.002367
1276,1276,1.002367
1277,1277,1.002367
1278,1278,1.002918
1279,1279,1.002918
1280,1280,1.002918
1281,1281,1.002918
1282,1282,1.002918
1283,1283,1.002918
1284,1284,1.002918
1285,1285,1.002918
1286,1286,1.002918
1287,1287,1.002918
1288,1288,1.003358
1289,1289,1.003358
1290,1290,1.003358
1291,1291,1.003358
1292,1292,1.003358
1293,1293,1.003358
1294,1294,1.003468
1295,1295,1.003468
